"ngrams","Freq"
"the",1974015
"to",906141
"a",892387
"and",889505
"of",774498
"in",679058
"for",353891
"that",350542
"is",284196
"on",269880
"with",254810
"said",250425
"he",233340
"it",229435
"was",228964
"at",214174
"as",187552
"i",164191
"his",157668
"be",152852
"from",152276
"but",151292
"have",143369
"are",138815
"by",133804
"an",123159
"this",122016
"has",120559
"they",115354
"not",112897
"who",109586
"will",108226
"we",102643
"or",99390
"you",98445
"s",90096
"about",89771
"one",88850
"more",88271
"their",86445
"had",83261
"when",78675
"year",77408
"she",77085
"up",76803
"out",74833
"were",73873
"would",71980
"all",71946
"new",70754
"her",68856
"been",66209
"if",64436
"two",63856
"after",63142
"which",60554
"can",60482
"also",58786
"than",58684
"first",57859
"its",57643
"there",57569
"time",57057
"1",56731
"what",56596
"so",56518
"it's",56340
"no",55452
"just",53312
"last",52078
"other",51646
"some",51510
"state",51496
"like",50822
"into",48553
"people",47830
"years",46850
"2",44612
"get",43747
"do",43482
"him",43425
"over",43325
"them",42602
"m",42207
"my",42071
"could",40523
"three",39286
"our",39119
"because",39085
"city",38624
"3",38016
"000",36707
"now",36507
"school",35801
"back",35456
"only",35393
"most",35391
"game",35003
"percent",34690
"how",33947
"before",33895
"10",32967
"make",32575
"5",32343
"where",31997
"day",31963
"your",31885
"says",31852
"going",31436
"off",31131
"those",31074
"million",30917
"then",30680
"home",30615
"county",30463
"even",30393
"4",30389
"good",30379
"many",30290
"through",29728
"team",29336
"may",28842
"made",28797
"while",28765
"way",28703
"season",28581
"high",28294
"down",27677
"me",27560
"6",27300
"much",27137
"police",27097
"work",26964
"still",26655
"well",26543
"any",26163
"p",25899
"go",25786
"did",25484
"u",25471
"don't",25353
"four",24929
"think",24813
"take",24717
"old",24275
"since",23955
"right",23779
"say",23550
"know",23542
"against",23458
"during",23409
"second",23032
"being",22985
"week",22841
"public",22782
"7",22746
"long",22676
"see",22177
"another",22146
"st",22133
"want",21863
"such",21779
"8",21417
"next",21189
"should",21185
"best",21174
"t",21161
"play",21143
"that's",21019
"got",20977
"30",20861
"very",20854
"big",20851
"center",20457
"including",20281
"both",20173
"these",20097
"us",20041
"president",19963
"house",19878
"part",19792
"family",19701
"around",19568
"five",19494
"company",19244
"too",19199
"9",18942
"really",18939
"told",18850
"here",18653
"little",18530
"lot",18510
"money",18379
"12",18356
"each",18302
"help",18076
"same",18016
"11",17842
"according",17831
"under",17792
"left",17754
"every",17733
"place",17621
"come",17539
"end",17363
"run",17314
"night",17214
"i'm",17195
"need",17185
"great",17167
"never",17077
"he's",17010
"former",16969
"didn't",16940
"show",16915
"20",16811
"between",16705
"law",16700
"court",16621
"business",16606
"life",16542
"world",16214
"officials",16152
"until",16066
"better",16047
"top",16015
"few",15898
"games",15792
"called",15699
"group",15689
"own",15669
"today",15565
"15",15537
"man",15463
"office",15444
"health",15264
"found",15150
"put",15074
"use",14962
"came",14921
"something",14889
"national",14864
"federal",14773
"district",14720
"government",14669
"point",14661
"board",14632
"days",14618
"things",14563
"might",14521
"month",14487
"third",14419
"took",14411
"six",14337
"program",14306
"case",14284
"coach",14284
"several",14218
"students",14150
"set",14140
"american",14084
"0",14031
"free",14005
"university",13979
"job",13950
"without",13878
"times",13844
"used",13739
"friday",13721
"early",13648
"later",13642
"area",13583
"department",13526
"went",13525
"children",13442
"look",13373
"director",13279
"community",13253
"though",13236
"open",13216
"pay",13212
"win",13186
"ago",13153
"tax",13125
"ohio",13060
"points",12946
"start",12936
"local",12921
"tuesday",12904
"past",12885
"based",12780
"park",12716
"away",12664
"bill",12622
"we're",12560
"plan",12523
"road",12511
"keep",12450
"york",12426
"monday",12424
"among",12419
"members",12405
"half",12396
"thursday",12351
"care",12336
"april",12329
"call",12277
"san",12276
"street",12265
"cleveland",12240
"always",12179
"least",12175
"months",12169
"making",12166
"hit",12133
"small",12055
"does",12051
"enough",12027
"food",11901
"why",11896
"less",11891
"there's",11880
"saturday",11784
"25",11771
"find",11740
"whether",11704
"line",11587
"young",11567
"players",11533
"asked",11514
"country",11456
"college",11427
"wednesday",11427
"service",11426
"jersey",11413
"hard",11396
"2010",11374
"water",11324
"once",11302
"john",11260
"50",11235
"give",11232
"getting",11194
"again",11178
"room",11125
"white",11051
"along",11048
"report",11036
"com",10980
"already",10907
"schools",10900
"far",10888
"doesn't",10863
"working",10860
"13",10846
"thing",10767
"washington",10758
"information",10752
"system",10751
"news",10706
"states",10694
"support",10684
"won",10646
"north",10643
"field",10488
"market",10420
"14",10401
"number",10390
"minutes",10349
"obama",10277
"billion",10272
"played",10250
"late",10210
"sunday",10188
"louis",10123
"full",10117
"building",10094
"different",10081
"trying",9986
"series",9968
"yet",9967
"lead",9956
"south",9950
"march",9934
"started",9925
"west",9890
"100",9855
"head",9824
"nearly",9810
"car",9741
"love",9693
"side",9665
"lost",9664
"deal",9612
"others",9600
"cost",9585
"done",9550
"can't",9528
"real",9471
"d",9464
"doing",9460
"18",9456
"feel",9427
"budget",9406
"story",9394
"per",9384
"16",9372
"able",9363
"looking",9321
"campaign",9320
"they're",9314
"near",9312
"seven",9312
"change",9285
"often",9258
"power",9227
"must",9226
"re",9211
"wanted",9181
"sure",9161
"recent",9158
"jobs",9157
"move",9118
"companies",9092
"expected",9073
"hours",9033
"major",9014
"you're",9007
"league",8994
"become",8991
"party",8985
"close",8980
"shot",8973
"together",8953
"record",8945
"kind",8941
"2011",8940
"general",8929
"final",8928
"added",8824
"women",8789
"ever",8777
"fire",8753
"playing",8748
"music",8737
"services",8735
"cut",8725
"however",8704
"2009",8694
"oregon",8689
"17",8675
"behind",8652
"chief",8647
"coming",8640
"large",8600
"project",8597
"kids",8571
"sales",8561
"thought",8523
"having",8519
"running",8502
"history",8499
"council",8488
"political",8472
"medical",8441
"career",8410
"player",8405
"portland",8381
"round",8371
"weeks",8366
"republican",8362
"known",8344
"across",8341
"makes",8321
"education",8304
"name",8291
"class",8282
"2008",8278
"led",8249
"held",8216
"executive",8206
"taking",8196
"plans",8189
"40",8140
"include",8122
"began",8116
"eight",8096
"california",8088
"red",8062
"decision",8049
"outside",8023
"conference",8009
"live",8002
"quarter",8001
"attorney",7991
"500",7963
"financial",7947
"mr",7943
"likely",7925
"special",7925
"course",7905
"east",7900
"event",7878
"issue",7877
"morning",7873
"co",7858
"teams",7833
"important",7828
"star",7804
"almost",7759
"person",7752
"saying",7734
"black",7724
"try",7706
"believe",7694
"death",7685
"e",7678
"comes",7671
"front",7620
"staff",7609
"earlier",7608
"'",7568
"defense",7543
"face",7515
"low",7514
"whose",7505
"friends",7499
"workers",7471
"men",7464
"ball",7460
"summer",7444
"instead",7443
"future",7438
"i've",7428
"employees",7426
"seen",7417
"united",7403
"wasn't",7397
"goal",7385
"let",7373
"level",7367
"worked",7351
"meeting",7348
"available",7340
"manager",7322
"anything",7277
"reported",7273
"given",7271
"19",7260
"economy",7229
"list",7184
"gave",7170
"race",7165
"senior",7161
"24",7155
"using",7150
"drive",7105
"process",7105
"taken",7102
"fourth",7089
"everything",7055
"parents",7014
"wife",7006
"committee",6991
"green",6991
"forward",6990
"economic",6987
"statement",6978
"bad",6971
"return",6970
"june",6966
"mother",6946
"recently",6933
"needs",6931
"vote",6931
"spring",6925
"someone",6916
"continue",6910
"david",6891
"couple",6861
"chance",6855
"woman",6848
"21",6831
"saw",6831
"bring",6830
"energy",6830
"22",6816
"average",6813
"probably",6789
"residents",6781
"nothing",6778
"member",6777
"brown",6770
"needed",6765
"judge",6755
"child",6745
"although",6732
"isn't",6730
"2012",6712
"town",6705
"fans",6699
"football",6694
"private",6683
"short",6649
"within",6646
"problem",6633
"hall",6630
"runs",6628
"union",6616
"experience",6606
"club",6600
"stop",6587
"property",6570
"loss",6569
"development",6546
"fall",6542
"book",6534
"strong",6534
"foot",6527
"spent",6515
"received",6510
"control",6502
"bank",6496
"single",6495
"security",6494
"feet",6486
"mayor",6485
"officer",6484
"safety",6478
"hospital",6477
"fact",6476
"michael",6467
"price",6439
"hand",6434
"air",6422
"became",6414
"rate",6402
"costs",6397
"higher",6395
"james",6390
"himself",6385
"share",6379
"pretty",6376
"especially",6373
"everyone",6365
"increase",6362
"current",6346
"son",6345
"turn",6330
"talk",6310
"issues",6307
"tell",6289
"age",6283
"clear",6273
"space",6270
"officers",6266
"starting",6264
"pick",6261
"bit",6259
"middle",6259
"possible",6257
"provide",6249
"guys",6245
"voters",6242
"turned",6238
"question",6237
"paid",6227
"agency",6226
"term",6212
"restaurant",6197
"died",6186
"released",6178
"film",6177
"senate",6171
"wrote",6142
"smith",6131
"america",6119
"student",6116
"art",6107
"election",6093
"am",6079
"guy",6073
"23",6072
"industry",6071
