"ngrams","Freq"
"thank you so much for the",290
"happy mother's day to all the",225
"at the end of the day",220
"happy mothers day to all the",213
"hope you have a great day",193
"let me know what you think",191
"thanks to everyone who came out",187
"let us know what you think",180
"get real rewards just for watching",178
"real rewards just for watching tv",178
"this is going to be a",177
"am i the only one who",172
"let me know if you need",171
"in the middle of the night",149
"it would mean the world to",145
"all i want to do is",137
"hope all is well with you",137
"for a chance to win a",135
"would mean the world to me",129
"thanks so much for the follow",127
"cake cake cake cake cake cake",126
"may the fourth be with you",126
"somebody that i used to know",126
"let us know if we can",123
"it's going to be a great",122
"ass ass ass ass ass ass",119
"for the rest of the day",119
"let us know if you need",117
"to everyone who came out to",116
"i can't wait to see you",112
"let us know if you have",112
"going to be a good day",111
"thanks for following me on twitter",111
"we look forward to seeing you",108
"may the 4th be with you",107
"i hope you have a great",106
"there is no such thing as",106
"matt hunter matt hunter matt hunter",104
"please please please please please please",104
"thanks so much for the rt",104
"today is going to be a",104
"had a great time at the",101
"let me know if i can",101
"for the rest of my life",100
"hope everyone is having a great",97
"trying to figure out how to",97
"i love you so so so",96
"for the first time in a",94
"is going to be a great",94
"know if you have any questions",93
"let me know if you want",93
"i don't know what to do",92
"love you so so so much",92
"thank you so much for your",92
"us know if you have any",91
"let me know if you have",90
"thanks to all who came out",89
"i was thinking the same thing",88
"it's going to be a good",88
"no no no no no no",88
"am i the only one that",87
"for following the hilltop on twitter",86
"mi run with a time of",86
"thanks for following the hilltop on",86
"what are you going to do",86
"hope you have a great weekend",85
"will be the death of me",85
"family law tip of the day",84
"hunter matt hunter matt hunter matt",84
"me i will tell you how",84
"texas family law tip of the",84
"hope you are having a great",83
"txt me i will tell you",83
"want to get in for free",83
"can i get a follow back",82
"i thought i was the only",82
"is going to be a good",81
"thought i was the only one",80
"it was great to meet you",79
"to be a part of the",79
"all you have to do is",77
"i don't want to go to",76
"when was the last time you",76
"what do you think of the",75
"hope to see you again soon",74
"is it just me or is",74
"just somebody that i used to",74
"us know if we can help",74
"can't wait to see you in",73
"not sure how i feel about",73
"on the other side of the",73
"it's going to be a long",72
"and on wednesday at the wallingford",71
"at the wallingford ct show 8",71
"on wednesday at the wallingford ct",71
"wednesday at the wallingford ct show",71
"available in your customer area now",70
"going to be a great day",70
"to all the moms out there",70
"you light up my world like",70
